iso3,year,electoral_system,threshold
WSM,2021,0,0
HRV,1990,1,0
ISL,1874,2,
ISL,1880,2,
ISL,1886,2,
ISL,1892,2,
ISL,1894,2,
SMR,1998,9,
SMR,2001,9,
SMR,2006,9,
SMR,2008,9,3.5
SMR,2012,9,3.5
SMR,2016,9,3.5
SMR,2019,9,3.5
AND,1997,4,
AND,2001,4,
AND,2005,4,
AND,2009,4,
AND,2011,4,
AND,2015,4,
AND,2019,4,
AND,2023,4,
VGB,2003,0,0
VGB,2007,0,0
VGB,2011,0,0
VGB,2015,0,0
VGB,2019,0,0
CYM,2000,3,
CYM,2003,3,
CYM,2005,3,
CYM,2009,3,
CYM,2013,3,
CYM,2017,0,
CYM,2021,0,
CUW,1995,8,
CUW,1999,8,
CUW,2003,8,
CUW,2007,8,
CUW,2010,8,
CUW,2016,8,
CUW,2017,8,
CUW,2012,8,
LIE,1945,7,
LIE,1949,7,
LIE,1953,7,
LIE,1957,7,
LIE,1958,7,
LIE,1962,7,
LIE,1966,7,
LIE,1970,7,
LIE,1974,7,
LIE,1978,7,
LIE,1982,7,
LIE,1986,7,
LIE,1989,7,
LIE,1993,7,
LIE,1997,7,
LIE,2001,7,
LIE,2005,7,
LIE,2009,7,
LIE,2013,7,
LIE,2017,7,
LIE,2021,7,
MHL,2003,3,
MHL,2007,3,
MHL,2011,3,
MHL,2015,3,
MHL,2019,3,
MHL,2023,3,
TCA,2007,0,0
TCA,2012,0,0
TCA,2016,0,0
ABW,2005,8,
ABW,2009,8,
ABW,2013,8,
ABW,2017,8,
ABW,2021,8,
SVK,1990,8,3
SVK,1992,8,5
MSR,2009,3,
MSR,2014,3,
MSR,2019,3,
MAC,2001,8,
MAC,2005,8,
MAC,2009,8,
MAC,2013,8,
MAC,2017,8,
NIU,2017,0,
NRU,2016,12,
NRU,2022,12,
SXM,2014,8,
SXM,2016,8,
SXM,2018,8,
SXM,2020,8,
TUV,2002,3,
TUV,2006,3,
TUV,2010,3,
TUV,2015,3,
TUV,2019,3,
MCO,1998,8,
MCO,2003,8,
MCO,2008,8,
MCO,2013,8,
ALA,1979,8,
ALA,1983,8,
ALA,1987,8,
ALA,1991,8,
ALA,1995,8,
ALA,1999,8,
ALA,2003,8,
ALA,2007,8,
ALA,2011,8,
ALA,2015,8,
ALA,2019,8,
AUS,1901,,
AUS,1919,2,
AUT,1919,7,
BEL,1919,8,
BEL,1921,8,
BEL,1925,8,
BEL,1929,8,
BEL,1932,8,
BEL,1936,8,
BEL,1939,8,
BLR,2005,1,
COK,2010,0,
COK,2018,0,
DEU,1919,8,
DOM,1962,,
FJI,1905,,
FJI,1908,,
FJI,1911,,
FJI,1914,,
FJI,1917,,
FJI,1920,,
FJI,1923,,
FJI,1926,,
FJI,1929,,
FJI,1932,,
FJI,1937,,
FRO,1906,8,
FRO,1908,8,
FRO,1910,8,
FRO,1912,8,
FRO,1914,8,
FRO,1916,8,
FRO,1918,8,
FRO,1920,8,
FRO,1924,8,
FRO,1928,8,
FRO,1932,8,
FRO,1936,8,
FRO,1940,8,
FRO,1943,8,
FRO,1945,8,
FRO,1946,8,
FRO,1950,8,
FRO,1954,8,
FRO,1958,8,
FRO,1962,8,
FRO,1966,8,
FRO,1970,8,
FRO,1974,8,
FRO,1978,8,
FRO,1980,8,
FRO,1984,8,
FRO,1988,8,
FRO,1990,8,
FRO,1994,8,
FRO,1998,8,
FRO,2002,8,
FRO,2004,8,
FRO,2008,8,
FRO,2011,8,
FRO,2015,8,
FRO,2022,8,
GIB,1992,3,
GIB,1996,3,
GIB,2000,3,
GIB,2003,3,
GIB,2007,3,
GIB,2011,3,
GIB,2015,3,
GIB,2019,3,
GNQ,1993,8,
GRL,2002,8,
GRL,2005,8,
GRL,2009,8,
GRL,2013,8,
GRL,2014,8,
GRL,2018,8,
GTM,1984,8,
GUY,1953,0,
GUY,1957,0,
GUY,1961,0,
HKG,1991,3,
HKG,1995,3,
HKG,1998,3,
HKG,2000,3,
HKG,2004,3,
HKG,2008,3,
HKG,2012,3,
HKG,2016,3,
HKG,2021,3,
HND,1980,,
HND,1981,,
IMN,2001,3,
IMN,2006,3,
IMN,2011,3,
IMN,2016,3,
IRL,1918,,
IRL,1922,9,
IRL,1923,9,
IRL,1927,9,
IRL,1932,9,
IRL,1933,9,
IRL,1937,9,
IRL,1938,9,
IRL,1943,9,
IRL,1944,9,
ITA,1946,8,
KOR,1973,10,
KOR,1978,10,
KWT,1963,,
KWT,1967,,
KWT,1971,,
KWT,1975,,
KWT,1981,,
KWT,1985,,
KWT,1990,,
KWT,1992,,
KWT,1996,,
KWT,2019,,
LBN,1927,,
LBN,1929,,
LBN,1934,,
LBN,1937,,
LKA,1911,,
LKA,1921,,
LKA,1924,,
LKA,1931,,
LKA,1936,,
LKA,1947,,
LUX,1919,8,
LUX,1925,8,
LUX,1928,8,
LUX,1931,8,
LUX,1934,8,
LUX,1937,8,
MLT,1921,9,
MLT,1924,9,
MLT,1927,9,
MLT,1932,9,
MLT,1939,9,
MLT,1945,9,
MLT,1947,9,
MLT,1950,9,
MLT,1951,9,
MLT,1953,9,
MLT,1955,9,
MLT,1962,9,
MUS,1967,9,
NOR,1915,1,
PAK,1970,0,
PAK,1971,0,
PAN,2004,7,
PAN,2009,7,
PHL,1978,3,
PLW,2016,1,
PLW,2020,1,
PRI,1992,3,
PRI,1996,3,
PRI,2000,3,
PRI,2004,3,
PRI,2008,3,
PRI,2012,3,
PRI,2016,3,
PRI,2020,3,
PRT,1975,8,
SGP,1948,,
SGP,1963,0,
SGP,1968,0,
SGP,1972,0,
SGP,1976,0,
SGP,1980,0,
SGP,1984,0,
SGP,1988,4,
SGP,1991,4,
SHN,2013,3,
SHN,2017,3,
USA,1907,0,
USA,1911,0,
USA,1959,0,
USA,2019,0,
